 Descriptor,Time,Date,Day of Week,Police Report,Lighting Conditions,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved 
 Damage Accident,14:15,07/03/2014,Thursday,Y,Daylight,NIAGARA FALLS,SIDESWIPE,NIAGARA,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:00,10/16/2014,Thursday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Pedestrian, Collision With",1
 Accident,18:10,03/01/2014,Saturday,Y,Dark-Road Lighted,TROY,OTHER,RENSSELAER,Straight and Grade,Cloudy,Traffic Signal,Dry,"Crossing, No Signal, Marked Crosswalk","Pedestrian, Collision With",1
 Damage Accident,14:45,11/19/2014,Wednesday,Y,Daylight,FORT EDWARD,OVERTAKING,WASHINGTON,Straight and Grade,Clear,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:15,02/08/2014,Saturday,Y,Dark-Road Lighted,BABYLON,REAR END,SUFFOLK,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:30,12/10/2014,Wednesday,Y,Dark-Road Lighted,HYDE PARK,OTHER,DUTCHESS,Straight and Level,Rain,None,Wet,Not Applicable,"Tree, Collision With Fixed Object",1
 Accident,2:57,10/11/2014,Saturday,Y,Dark-Road Lighted,KINGS,REAR END,KINGS,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,2:40,08/01/2014,Friday,Y,Dark-Road Unlighted,SCHENECTADY,OTHER,SCHENECTADY,Straight and Level,Clear,None,Dry,Not Applicable,"Building/Wall, Collision With Fixed Object",1
 Damage & Injury Accident,13:49,06/07/2014,Saturday,Y,Daylight,OYSTER BAY,OVERTAKING,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:43,08/12/2014,Tuesday,Y,Daylight,WHITESTOWN,REAR END,ONEIDA,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:36,08/28/2014,Thursday,Y,Daylight,NORTH TONAWANDA,OVERTAKING,NIAGARA,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,13:30,10/02/2014,Thursday,N,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Rain,None,Wet,Unknown,"Pedestrian, Collision With",1
 Damage Accident,18:13,12/16/2014,Tuesday,Y,Dark-Road Lighted,PITTSTOWN,OTHER,RENSSELAER,Curve and Level,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage Accident,4:33,02/08/2014,Saturday,Y,Dark-Road Unlighted,HUNTINGTON,SIDESWIPE,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,16:00,05/16/2014,Friday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage & Injury Accident,12:18,09/23/2014,Tuesday,Y,Daylight,EAST AURORA,OTHER,ERIE,Straight and Grade,Clear,None,Dry,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage Accident,14:20,07/15/2014,Tuesday,Y,Daylight,ISLIP,REAR END,SUFFOLK,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,0:30,08/02/2014,Saturday,Y,Dark-Road Lighted,RICHMOND,REAR END,RICHMOND,Curve and Level,Cloudy,Construction Work Area,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:40,12/05/2014,Friday,Y,Dark-Road Lighted,HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Rain,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,10:35,04/01/2014,Tuesday,Y,Daylight,COLONIE,OVERTAKING,ALBANY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:15,04/15/2014,Tuesday,Y,Dawn,NORTH DANSVILLE,OTHER,LIVINGSTON,Straight and Level,Rain,None,Wet,Not Applicable,Deer,1
 Accident,20:00,09/11/2014,Thursday,Y,Dark-Road Lighted,SALINA,OTHER,ONONDAGA,Straight and Level,Cloudy,Traffic Signal,Dry,"Crossing, No Signal, Marked Crosswalk","Pedestrian, Collision With",1
 Damage Accident,16:45,12/13/2014,Saturday,Y,Dark-Road Lighted,CLAY,REAR END,ONONDAGA,Straight and Level,Clear,None,Slush,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:23,08/09/2014,Saturday,Y,Dark-Road Unlighted,PRATTSBURG,REAR END,STEUBEN,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:10,06/18/2014,Wednesday,Y,Daylight,GATES,HEAD ON,MONROE,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:40,04/25/2014,Friday,N,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:50,09/15/2014,Monday,Y,Daylight,REMSEN,OTHER,ONEIDA,Curve and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,15:11,08/16/2014,Saturday,Y,Daylight,BATAVIA,REAR END,GENESEE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:30,11/24/2014,Monday,Y,Dark-Road Lighted,OYSTER BAY,REAR END,NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:49,04/01/2014,Tuesday,Y,Daylight,MAMARONECK,SIDESWIPE,WESTCHESTER,Curve at Hill Crest,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:12,06/06/2014,Friday,Y,Daylight,WEBSTER,REAR END,MONROE,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:15,10/03/2014,Friday,Y,Daylight,FARMINGDALE,SIDESWIPE,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,06/27/2014,Friday,N,Unknown,ROME,LEFT TURN (0),ONEIDA,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,9:50,05/21/2014,Wednesday,Y,Daylight,MONTEBELLO,OTHER,ROCKLAND,Straight and Level,Clear,None,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Accident,3:50,05/09/2014,Friday,Y,Dark-Road Lighted,BRONX,OVERTAKING,BRONX,Curve and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:40,07/20/2014,Sunday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:00,11/03/2014,Monday,N,Unknown,BRONX,Unknown,BRONX,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,9:10,02/21/2014,Friday,Y,Daylight,KINGS,RIGHT ANGLE,KINGS,Curve and Grade,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:10,01/09/2014,Thursday,N,Unknown,,OTHER,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Snow Embankment, Collision With Fixed Object",1
 Damage Accident,8:00,09/11/2014,Thursday,N,Unknown,QUEENS,Unknown,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:30,03/08/2014,Saturday,N,Unknown,FAIRFIELD,OTHER,HERKIMER,Unknown,Unknown,Unknown,Unknown,Not Applicable,Deer,1
 Accident,16:55,08/26/2014,Tuesday,Y,Daylight,RICHMOND,RIGHT ANGLE,RICHMOND,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:40,12/11/2014,Thursday,Y,Dark-Road Lighted,ROCHESTER,OTHER,MONROE,Straight and Level,Cloudy,Stop Sign,Snow/Ice,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Accident,13:18,04/25/2014,Friday,Y,Daylight,ALBANY,OTHER,ALBANY,Straight and Level,Cloudy,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,23:15,02/26/2014,Wednesday,N,Unknown,KINGS,LEFT TURN (3),KINGS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,21:20,08/02/2014,Saturday,Y,Dark-Road Lighted,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,16:19,06/26/2014,Thursday,Y,Daylight,GLENS FALLS,REAR END,WARREN,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,19:00,02/09/2014,Sunday,N,Dark-Road Unlighted,POUGHKEEPSIE,OTHER,DUTCHESS,Straight at Hill Crest,Snow,Unknown,Snow/Ice,Not Applicable,"Sign Post, Collision With Fixed Object",1
 Damage Accident,0:00,12/04/2014,Thursday,N,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:50,05/15/2014,Thursday,N,Daylight,BROOKHAVEN,REAR END,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:15,05/01/2014,Thursday,Y,Dark-Road Unlighted,HOOSICK,OTHER,RENSSELAER,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,16:00,05/12/2014,Monday,Y,Daylight,VESTAL,REAR END,BROOME,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,23:40,09/26/2014,Friday,Y,Dark-Road Unlighted,CORTLANDT,OTHER,WESTCHESTER,Curve and Grade,Clear,None,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage & Injury Accident,18:20,07/23/2014,Wednesday,Y,Daylight,HUNTINGTON,RIGHT ANGLE,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:45,07/08/2014,Tuesday,Y,Dark-Road Lighted,CHESTER,OVERTAKING,ORANGE,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:25,07/04/2014,Friday,Y,Daylight,WHITE PLAINS,REAR END,WESTCHESTER,Straight and Grade,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:08,04/16/2014,Wednesday,Y,Dawn,ROCHESTER,OTHER,MONROE,Straight and Level,Clear,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage Accident,9:15,10/16/2014,Thursday,Y,Daylight,WATKINS GLEN,REAR END,SCHUYLER,Straight and Level,Cloudy,RR Crossing Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:21,05/10/2014,Saturday,Y,Daylight,SLOATSBURG,OTHER,ROCKLAND,Straight and Level,Cloudy,None,Wet,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage Accident,13:49,06/18/2014,Wednesday,Y,Daylight,UTICA,RIGHT ANGLE,ONEIDA,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:42,01/04/2014,Saturday,Y,Dusk,COLLINS,OTHER,ERIE,Straight and Level,Cloudy,None,Snow/Ice,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage Accident,14:05,09/26/2014,Friday,Y,Daylight,GLENS FALLS,OTHER,WARREN,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,15:30,02/06/2014,Thursday,N,Daylight,HEMPSTEAD,Unknown,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:10,08/01/2014,Friday,N,Daylight,FAIRPORT,REAR END,MONROE,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,22:55,12/06/2014,Saturday,Y,Dark-Road Lighted,BROOKHAVEN,OTHER,SUFFOLK,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Sign Post, Collision With Fixed Object",1
 Accident,11:28,08/18/2014,Monday,Y,Daylight,FREDONIA,REAR END,CHAUTAUQUA,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,20:40,09/22/2014,Monday,Y,Dark-Road Lighted,BRONX,LEFT TURN (3),BRONX,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,08/16/2014,Saturday,N,Dawn,ISLIP,OVERTAKING,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,8:34,09/03/2014,Wednesday,Y,Daylight,QUEENS,REAR END,QUEENS,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:07,02/13/2014,Thursday,Y,Daylight,HALFMOON,REAR END,SARATOGA,Straight and Level,Snow,Traffic Signal,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:45,04/16/2014,Wednesday,Y,Daylight,ITHACA,REAR END,TOMPKINS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:34,05/28/2014,Wednesday,Y,Daylight,BRONX,LEFT TURN (3),BRONX,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:10,09/19/2014,Friday,Y,Daylight,BUFFALO,REAR END,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:41,05/20/2014,Tuesday,N,Unknown,CHEEKTOWAGA,REAR END,ERIE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:40,10/12/2014,Sunday,Y,Dark-Road Lighted,HEMPSTEAD,LEFT TURN (3),NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:30,07/03/2014,Thursday,N,Unknown,LYONS,OTHER,WAYNE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Ran Off Roadway Only, Non-Collision",1
 Damage Accident,23:00,10/17/2014,Friday,N,Dark-Road Lighted,MOUNT PLEASANT,OTHER,WESTCHESTER,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,17:05,05/10/2014,Saturday,Y,Daylight,KINGS,OVERTAKING,KINGS,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,23:20,01/19/2014,Sunday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Clear,None,Dry,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage Accident,9:14,02/09/2014,Sunday,Y,Daylight,WALLKILL,OTHER,ORANGE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:23,05/02/2014,Friday,Y,Daylight,BUFFALO,RIGHT ANGLE,ERIE,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,6:19,10/26/2014,Sunday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,18:15,09/05/2014,Friday,Y,Daylight,SPRING VALLEY,OTHER,ROCKLAND,Straight and Level,Clear,Unknown,Dry,Unknown,"Bicyclist, Collision With",1
 Accident,21:40,08/14/2014,Thursday,Y,Dark-Road Lighted,RICHMOND,OTHER,RICHMOND,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Pedestrian, Collision With",1
 Damage Accident,7:50,06/10/2014,Tuesday,N,Daylight,MONTGOMERY,OTHER,ORANGE,Straight and Level,Cloudy,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,17:15,04/01/2014,Tuesday,Y,Daylight,OYSTER BAY,OTHER,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,22:58,04/03/2014,Thursday,Y,Dark-Road Unlighted,COLONIE,OTHER,ALBANY,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Accident,19:40,02/28/2014,Friday,Y,Daylight,BRONX,OTHER,BRONX,Straight and Level,Clear,None,Dry,Getting On/Off Vehicle Other than School Bus,"Pedestrian, Collision With",1
 Damage Accident,19:19,02/07/2014,Friday,Y,Dark-Road Lighted,EASTCHESTER,HEAD ON,WESTCHESTER,Straight and Level,Cloudy,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,13:45,11/07/2014,Friday,Y,Daylight,HEMPSTEAD,RIGHT TURN (5),NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:08,10/18/2014,Saturday,Y,Dark-Road Lighted,HEMPSTEAD,OTHER,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage Accident,0:00,04/15/2014,Tuesday,N,Unknown,BABYLON,OTHER,SUFFOLK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,19:10,08/08/2014,Friday,N,Daylight,KINGS,OVERTAKING,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:00,06/17/2014,Tuesday,Y,Daylight,OLD WESTBURY,REAR END,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:56,04/02/2014,Wednesday,Y,Daylight,VERNON,OTHER,ONEIDA,Straight and Level,Clear,None,Dry,Not Applicable,"Curbing, Collision With Fixed Object",1
 Accident,12:30,01/10/2014,Friday,Y,Daylight,KINGS,OVERTAKING,KINGS,Straight and Level,Sleet/Hail/Freezing Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,18:30,05/14/2014,Wednesday,N,Unknown,HEMPSTEAD,REAR END,NASSAU,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:00,10/20/2014,Monday,Y,Daylight,LYNBROOK,REAR END,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:35,01/18/2014,Saturday,Y,Daylight,GEDDES,OTHER,ONONDAGA,Curve and Grade,Snow,None,Slush,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage Accident,17:40,02/24/2014,Monday,Y,Dark-Road Lighted,JAMESTOWN,RIGHT ANGLE,CHAUTAUQUA,Straight and Grade,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,19:35,07/21/2014,Monday,N,Daylight,RICHMOND,RIGHT TURN (5),RICHMOND,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,21:05,07/13/2014,Sunday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Riding/Walking/Skating Along Highway Against Traffic,"Bicyclist, Collision With",1
 Damage & Injury Accident,19:16,02/22/2014,Saturday,Y,Dark-Road Lighted,COLONIE,RIGHT ANGLE,ALBANY,Curve and Level,Cloudy,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,8:00,01/26/2014,Sunday,Y,Daylight,RICHMOND,OTHER,RICHMOND,Straight and Level,Clear,None,Snow/Ice,Not Applicable,"Fence, Collision With Fixed Object",1
 Damage & Injury Accident,18:55,08/04/2014,Monday,Y,Daylight,YONKERS,REAR END,WESTCHESTER,Straight and Grade,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:05,10/07/2014,Tuesday,Y,Daylight,SOUTHOLD,OTHER,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,0:00,01/06/2014,Monday,N,Unknown,TONAWANDA,OTHER,ERIE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage & Injury Accident,10:00,09/11/2014,Thursday,Y,Daylight,GREENBURGH,OVERTAKING,WESTCHESTER,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:10,05/16/2014,Friday,Y,Daylight,ALBANY,REAR END,ALBANY,Curve and Level,Rain,Yield Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:36,07/13/2014,Sunday,Y,Daylight,SOUTHAMPTON,REAR END,SUFFOLK,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:09,10/16/2014,Thursday,Y,Dark-Road Lighted,VICTOR,HEAD ON,ONTARIO,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:26,07/30/2014,Wednesday,Y,Daylight,BUFFALO,OVERTAKING,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:20,09/25/2014,Thursday,Y,Daylight,POUGHKEEPSIE,OTHER,DUTCHESS,Straight and Level,Clear,None,Dry,Riding/Walking/Skating Along Highway Against Traffic,"Bicyclist, Collision With",1
 Damage Accident,17:13,11/18/2014,Tuesday,Y,Dark-Road Lighted,SCHENECTADY,SIDESWIPE,SCHENECTADY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:44,12/08/2014,Monday,Y,Daylight,NEWBURGH,OTHER,ORANGE,Straight and Level,Clear,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage & Injury Accident,17:35,02/26/2014,Wednesday,Y,Dusk,RICHMOND,OTHER,RICHMOND,Curve and Level,Clear,Construction Work Area,Dry,Not Applicable,"Crash Cushion, Collision With Fixed Object",1
 Damage Accident,22:12,12/01/2014,Monday,Y,Dark-Road Unlighted,WALLKILL,REAR END,ORANGE,Curve and Level,Cloudy,Yield Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,17:38,05/07/2014,Wednesday,Y,Daylight,CANANDAIGUA,REAR END,ONTARIO,Straight and Grade,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,10:30,07/07/2014,Monday,Y,Daylight,NORTH HEMPSTEAD,OTHER,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Bicyclist, Collision With",1
 Damage Accident,16:15,07/22/2014,Tuesday,Y,Daylight,WEST SENECA,RIGHT TURN (6),ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:25,02/01/2014,Saturday,Y,Daylight,HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:40,03/12/2014,Wednesday,Y,Daylight,PAINTED POST,OTHER,STEUBEN,Straight and Level,Sleet/Hail/Freezing Rain,None,Snow/Ice,Not Applicable,"Median - Not At End, Collision With Fixed Object",1
 Damage & Injury Accident,4:40,04/26/2014,Saturday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Rain,None,Wet,Not Applicable,"Crash Cushion, Collision With Fixed Object",1
 Damage Accident,17:02,09/05/2014,Friday,Y,Daylight,ALBANY,RIGHT TURN (6),ALBANY,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:45,02/25/2014,Tuesday,Y,Daylight,THOMASTON,LEFT TURN (0),NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:55,07/02/2014,Wednesday,Y,Daylight,KINGS,OVERTAKING,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,6:35,04/20/2014,Sunday,Y,Daylight,SOMERS,RIGHT ANGLE,WESTCHESTER,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,12:29,10/17/2014,Friday,Y,Daylight,BABYLON,OTHER,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage & Injury Accident,15:20,09/04/2014,Thursday,Y,Daylight,ROME,OTHER,ONEIDA,Straight and Level,Clear,None,Dry,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage & Injury Accident,9:12,02/05/2014,Wednesday,Y,Daylight,STEPHENTOWN,OTHER,RENSSELAER,Curve and Grade,Snow,No Passing Zone,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:20,08/01/2014,Friday,Y,Daylight,ULSTER,RIGHT ANGLE,ULSTER,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:15,04/19/2014,Saturday,Y,Daylight,GREAT NECK PLAZA,LEFT TURN (0),NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,16:30,07/15/2014,Tuesday,Y,Daylight,HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:05,10/03/2014,Friday,Y,Daylight,AMHERST,LEFT TURN (3),ERIE,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:42,04/02/2014,Wednesday,Y,Daylight,WHITE PLAINS,REAR END,WESTCHESTER,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,22:31,11/08/2014,Saturday,Y,Dark-Road Lighted,BRIGHTON,RIGHT ANGLE,MONROE,Straight and Level,Clear,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
